coin,fundingRate,premium,time
SOL,-0.0002365296,-0.0005365296,1683849600048
SOL,-0.0002071632,-0.0005071632,1683878400388
SOL,-0.0002149873,-0.0005149873,1683907200253
SOL,-0.0001690189,-0.0004690189,1683936000278
SOL,-0.0001689846,-0.0004689846,1683964800255
SOL,-0.0000946788,-0.0003946788,1683993600054
SOL,-0.0001360653,-0.0004360653,1684022400087
SOL,-0.0001486295,-0.0004486295,1684051200271
SOL,-0.0001939917,-0.0004939917,1684080000380
SOL,-0.0001983325,-0.0004983325,1684108800374
SOL,-0.00016661,-0.00046661,1684137600045
SOL,-0.0002287641,-0.0005287641,1684166400409
SOL,-0.0000585586,-0.0003585586,1684195200447
SOL,-0.000064347,-0.000364347,1684224000126
SOL,-0.0000325489,-0.0003325489,1684252800731
SOL,-0.0001307244,-0.0004307244,1684281600067
SOL,-0.0000794228,-0.0003794228,1684310400279
SOL,-0.0001372218,-0.0004372218,1684339200024
SOL,0.0000210099,-0.0002789901,1684368000048
SOL,0.000013928,-0.000286072,1684396800038
SOL,-0.0001073711,-0.0004073711,1684425600052
SOL,-0.0002336786,-0.0005336786,1684454400026
SOL,-0.0002221281,-0.0005221281,1684483200158
SOL,-0.0001198013,-0.0004198013,1684512000396
SOL,-0.0001007636,-0.0004007636,1684540800029
SOL,-0.0001785511,-0.0004785511,1684569600111
SOL,-0.0002933989,-0.0005933989,1684598400345
SOL,-0.0000999479,-0.0003999479,1684627200095
SOL,0.0000634095,-0.0002365905,1684656000013
SOL,-0.0000266236,-0.0003266236,1684684800088
SOL,-0.0002710466,-0.0005710466,1684713600066
SOL,-0.0001187068,-0.0004187068,1684742400290
SOL,-0.000062347,-0.000362347,1684771200159
SOL,-0.0000520211,-0.0003520211,1684800000022
SOL,-0.000144579,-0.000444579,1684830233040
SOL,-0.0001283477,-0.0004283477,1684857600079
SOL,-0.0000873198,-0.0003873198,1684886400035
SOL,-0.000154176,-0.000454176,1684915200002
SOL,-0.0001400455,-0.0004400455,1684944000001
SOL,-0.0002825197,-0.0005825197,1684972800233
SOL,-0.0002258267,-0.0005258267,1685001600374
SOL,-0.0000284071,-0.0003284071,1685030400209
SOL,0.0000535893,-0.0002464107,1685059200136
SOL,-0.0001352504,-0.0004352504,1685088000044
SOL,-0.0000961513,-0.0003961513,1685116800180
SOL,-0.0000824109,-0.0003824109,1685145600015
SOL,0.0000595774,-0.0002404226,1685174400106
SOL,-0.0000410874,-0.0003410874,1685203200044
SOL,-0.0000206898,-0.0003206898,1685232000362
SOL,-0.0000712054,-0.0003712054,1685260800081
SOL,0.0000245309,-0.0002754691,1685289600156
SOL,-0.0000589132,-0.0003589132,1685318400082
SOL,-0.0000560271,-0.0003560271,1685347200068
SOL,0.0001,-0.0001174706,1685376000081
SOL,0.0001,-0.0000678156,1685404800148
SOL,0.0001,-0.0001674036,1685433600206
SOL,0.0000739696,-0.0002260304,1685462400053
SOL,0.0000501995,-0.0002498005,1685491200047
SOL,0.0000107977,-0.0002892023,1685520000219
SOL,0.0000488818,-0.0002511182,1685548800323
SOL,-0.0000329782,-0.0003329782,1685577600139
SOL,0.0000602422,-0.0002397578,1685606400067
SOL,0.0000396499,-0.0002603501,1685635200096
SOL,-0.0001007755,-0.0004007755,1685664000428
SOL,-0.0000656212,-0.0003656212,1685692800113
SOL,0.0000639798,-0.0002360202,1685721600038
SOL,0.0001,-0.0001606767,1685750400055
SOL,0.0000762368,-0.0002237632,1685779200071
SOL,0.0000263118,-0.0002736882,1685808000011
SOL,0.0000958223,-0.0002041777,1685836800341
SOL,0.0001,-0.0001657533,1685865600084
